外星悍將;開發一個評分70%以上的動作遊戲。
彈珠迷宮;開發一個評分70%以上的技巧遊戲。
拉利奧醫生;開發一個評分70%以上的解謎遊戲。
猴島;開發一個評分70%以上的冒險遊戲。
地下城主;開發一個評分70%以上的角色扮演遊戲。
文明;開發一個評分70%以上的策略遊戲。
拉利奧世界;開發一個評分70%以上的平台遊戲。
太空船: 精英;開發一個評分70%以上的模擬遊戲。
加洲盃;開發一個評分70%以上的體育遊戲。
瘋狂石油大亨;開發一個評分70%以上的經濟模擬遊戲。
街尾霸王;開發一個評分70%以上的格鬥遊戲。
模擬城市: 1602;開發一個評分70%以上的建築遊戲。
龍族洞穴;開發一個評分70%以上的互動電影遊戲。
尤利司令;開發一個評分70%以上的即時戰略遊戲。
BOOM;開發一個評分70%以上的第一人稱射擊遊戲。
青出於本;開發一個評分70%以上的視覺小說遊戲。
英雄腦筋;開發一個評分70%以上的第三人稱射擊遊戲。
車手魂;開發一個評分70%以上的賽車遊戲。
復古狂熱;開發一個復古遊戲。
中土世界;開發一個大型多人遊戲。
真的免費嗎?;開發一個免費遊戲。
投入硬幣!;開發一個街機遊戲。
人人都愛蛇;開發一個電話遊戲。
天生程式員;開發自己的引擎。
遊戲機戰爭;開發自己的家用機。
可放到自己口袋;開發自己的手提機。
獎金;開發一個合約遊戲。
捆綁包;建立一個遊戲捆綁包。
折扣;發行一個廉價遊戲。
完全版;發行一個套件捆綁包。
衍生作;開發一個衍生作。
I, II, III, IV;開發一個續作。
移植簡易大法;移植一個遊戲到其他平台。
超越原作?;為遊戲開發一個重製版。
趨勢帶起者;你的遊戲開始了一個新趨勢。
年度最佳遊戲;你的遊戲當選年度最佳遊戲。
年度最佳開發商;當選年度最佳開發商。
年度最佳發行商;當選年度最佳發行商。
養眼;你的遊戲當選最佳畫面。
好音聲;你的遊戲當選最佳音效。
這是不可能的!;你的遊戲當選年度最爛遊戲。
過度炒作!;為一個遊戲建立過度炒作。
外判;跟一個發行商簽了獨家合約。
很多工作機會!;客戶聲譽達100%。
我要賺大錢;不經發行商推出遊戲。
這就是未來!;踏入2050年。
發行商!;為開發商發行一個遊戲。
最佳好友!;跟一個發行商達最大關係值。
黃金;一個遊戲售出超過1百萬份。
白金;一個遊戲售出超過1千萬份。
鑽石;一個遊戲售出超過5千萬份。
80%;你有一個遊戲整體評分80%以上。
90%;你有一個遊戲整體評分90%以上。
100%;你有一個遊戲整體評分100%。
人人愛戴!;粉絲數1百萬以上。
不獨處;跟一名好友開始一個多人遊戲。
我的團隊!;跟四名好友開始一個多人遊戲。
知識產權;一個作品系列取得最高人氣。
傳奇遊戲公司;取得最高工作室評級。
大師;有員工任意一個技能經驗100%。
老闆 I;持有最少20名員工。
老闆 II;持有最少50名員工。
老闆 III;持有最少100名員工。
零用錢;持有$5千萬。
錢不夠多!;持有$5億。
三逗號俱樂部;持有$10億。
遊戲機戰爭 II;一個自家遊戲機售出超過1千萬部。
市場領導者;一個自家遊戲機售出超過5千萬部。
席德·麥爾;僱用一個遊戲界傳奇人員。
購物團 I;收購一個NPC開發商/發行商。
購物團 II;收購10個NPC開發商/發行商。
購物團 III;收購30個NPC開發商/發行商。
