很多粉絲說他們很滿意 <color=blue><NAME></color>。
很多粉絲表示很不滿意 <color=blue><NAME></color> 的質素。
很多粉絲很喜歡 <color=blue><NAME></color> 的畫面。
很多粉絲對 <color=blue><NAME></color> 的畫面表示失望。
很多粉絲很喜歡 <color=blue><NAME></color> 的音效。
很多粉絲對 <color=blue><NAME></color> 的音效表示失望。
很多粉絲很喜歡 <color=blue><NAME></color> 的操作。
很多粉絲對 <color=blue><NAME></color> 的操作表示失望。
有粉絲希望 <color=blue><NAME></color> 能加設更多語言。
有粉絲要求 <color=blue><NAME></color> 應更注重遊戲性。
有粉絲要求 <color=blue><NAME></color> 應更注重畫面。
有粉絲認為 <color=blue><NAME></color> 的故事不夠刺激。
有粉絲認為 <color=blue><NAME></color> 的遊玩時間不足。
有粉絲希望 <color=blue><NAME></color> 能有更好的氣氛。
有粉絲希望 <color=blue><NAME></color> 能有更豐富的內容。
有粉絲希望 <color=blue><NAME></color> 可以有更高深度。
有粉絲希望 <color=blue><NAME></color> 可以對新手更友善。
有粉絲認為 <color=blue><NAME></color> 過度傾向休閒玩家。
有粉絲認為 <color=blue><NAME></color> 過度傾向核心玩家。
有粉絲希望 <color=blue><NAME></color> 可以見到更多創新。
有粉絲希望 <color=blue><NAME></color> 可以有更佳的角色設計。
有粉絲希望 <color=blue><NAME></color> 可以有更佳的關卡設計。
有粉絲希望 <color=blue><NAME></color> 可以有更佳的任務設計。
有玩家不滿 <color=blue><NAME></color> 的描繪過度和平向。
有玩家不滿 <color=blue><NAME></color> 描繪過多成人內容。
有玩家不滿 <color=blue><NAME></color> 太容易。
有玩家不滿 <color=blue><NAME></color> 太困難。
