ハリカン;評価70%以上のアクションゲームを開発する。
Marble Maze;評価70%以上のシンプルゲームを開発する。
ドクターラリオ;評価70%以上のパズルゲームを開発する。
アイランド・モンキー;評価70%以上のアドベンチャーゲームを開発する。
ダンジョンズ&マスターズ;評価70%以上のロールプレイングゲームを開発する。
シヴィライゼーションズ;評価70%以上の戦略シミュレーションゲームを開発する。
スーパーラリオワールド;評価70%以上のプラットフォーマーゲームを開発する。
Spaceship: Elite;評価70%以上のシミュレーションゲームを開発する。
カリフォルニア杯;評価70%以上のスポーツゲームを開発する。
Mad Oil Tycoon;評価70%以上の経営シミュレーションゲームを開発する。
バックストリートファイター;評価70%以上の格闘ゲームを開発する。
シムレーションシティ1602;評価70%以上の建設ゲームを開発する。
ドラゴンズケイブ;評価70%以上のインタラクティブ映像を開発する。
Commander Yuri;評価70%以上のリアルタイム戦略ゲームを開発する。
BOOM;FPSゲームを開発する。
本よりも優れている;評価70%以上のビジュアルノベルを開発する。
マックス・ブレイン;評価70%以上のTPSゲームを開発する。
テストドライバー;評価70%以上のレースゲームを開発する。
レトロマニア;レトロゲームを開発する。
Meridianの世界;MMOゲームを開発する。
本当に無料なの？;F2Pゲームを開発する。
お金を入れてね！;アーケードゲームを開発する。
みんなヘビが好き;携帯電話向けのモバイルゲームを開発する。
生まれながらのプログラマー;ゲームエンジンを開発する。
ゲーム機戦争;独自の据え置きゲーム機を開発する。
これなら私のポケットにも入る;独自の携帯ゲーム機を開発する。
ボーナス支払;契約開発でゲームを開発する。
バンドル;ゲームバンドルを作成する。
割引;廉価ゲームを発売する。
完全版;アドオンを含んだゲームバンドルを発売する。
スピンオフ;ゲームの派生作品を開発する。
１、２、３、４;ゲームの続編を開発する。
ゲームの移植は簡単;ゲームを別のプラットフォームに移植する。
オリジナルより良くなった？;ゲームのリマスター版を開発する。
流行を打ち出す者;自社ゲームが新たな流行を打ち立てる。
今年のゲーム;最優秀作品賞を受賞する。
今年の開発者;年間最優秀開発賞を受賞する。
今年の販社;年間最優秀販社賞を受賞する。
目の保養;ベスト映像賞を受賞する。
素晴らしきサウンドトラック;ベスト音響賞を受賞する。
いくらなんでもこんなのあり得ない！;「本年度最悪のゲーム」を受賞する。
誇大広告！;ゲームの誇大広告を行う。
請負業者;販社との独占契約を結ぶ。
それは大量の仕事だった！;顧客からの評判が100%に達する。
今、私は金持ちになる！;生産室でゲームを自社販売する。
これが未来だ;ゲーム内時間で2050年に到達する。
販社である！;他社が開発したゲームを販売する。
おお！ わたしの ともだち！;販社の友好度を最大値にする。
金色;ゲームを100万本以上売り上げる。
白金;ゲームを1000万本以上売り上げる。
ダイヤモンド;ゲームを5000万本以上売り上げる。
80%;ゲームが80%以上の評価を受ける。
90%;ゲームが90%以上の評価を受ける。
100%;ゲームが100%の評価を受ける。
誰もが私を愛する！;100万人以上のファンを獲得する。
俺は寂しがり屋でな。;フレンドと共にマルチプレイヤーモードを開始する。
これが私のチーム！;4人のフレンドと共にマルチプレイヤーモードを開始する。
知的財産;IPの人気が最高値に達する。
伝説のゲーム会社;会社の評価が最高に達する。
お見事;全能力値が最大値に達した社員がいる。
雇用主I;20人以上の社員を雇う。
雇用主II;50人以上の社員を雇う。
雇用主III;100人以上の社員を雇う。
小遣い;資金5000万ドル以上を所持。
足らんわっ･･･まるで････！！;資金5億ドル以上を所持。
億万長者;資金10億ドル以上を所持。
第二次ゲーム機大戦;自社製ゲーム機を1000万台以上売り上げる。
マーケットリーダー;自社製ゲーム機を5000万台以上売り上げる。
私はシド・マイヤーです;伝説的クリエイターを雇う。
ショッピングツアーI;同業他社を買収する。
ショッピングツアーII;10社以上の同業他社を買収する。
ショッピングツアーIII;30社以上の同業他社を買収する。
